tag	gene	fc	pvals	Pool	VEH	VEH	VEH	VEM	VEM	VEM
ULTRA-3337696	ACSL5	10.0216048625633	0.35	pool11	2.37377172149486	3.57892044489321	2.82316871044476	12234.623257957	3.72097554507218	2.07617970477244
RRUH-100609	ACSL5	-10.0441925182042	0.328952509714241	pool1	0	0	1387.58448721712	0.781070292811537	0.21154520657601	0.32440989839482
ULTRA-3357655	ALOXE3	-8.21518999147696	0.35	pool11	820.612884120773	0.238594696326214	0.47052811840746	0.901693131735789	1.35308201638988	0.519044926193109
ULTRA-3357659	ALOXE3	3.90526604505938	0.35	pool12	936.074311746586	0.820859461746034	2.61784901817573	1.04828368443411	3.13064192849469	14117.6055486631
ULTRA-3350738	ASAH2	-9.43357966953182	0.35	pool11	0.237377172149486	0.238594696326214	877.534940829913	0.676269848801841	0.338270504097471	0.259522463096555
ULTRA-3350739	ASAH2	4.05719276858604	0.35	pool12	0.272907962608334	384.709467738308	1.90389019503689	6.81384394882174	6482.59615947297	1.03775400975177
RRUH-153972	ASXL2	10.4112295231002	0.0920193135982127	pool3	0	0.285956368205427	0	4473.70908288964	0.262878206161182	0.627548041155856
RRUH-149206	ASXL2	6.11359128639365	0.35	pool3	0	73.2048302605892	0.606717577012684	1.3550534856549	5316.97459781606	0.313774020577928
ULTRA-3435374	AWAT1	9.84283643286959	0.35	pool12	1.63744777565001	1.91533874407408	1.42791764627767	1.31035460554264	7323.29392657874	4.1510160390071
RRUH-141760	AWAT1	11.0325665114939	0.35	pool2	1.34451539900377	1.48340177254645	7.95617854725484	1.36777044982095	3.03670956727496	28869.9131354507
RRUH-159456	C15orf52	10.3581489812894	0.25327758452452	pool3	0.26828978408843	0	0.202239192337561	0	0.788634618483545	4554.42990868862
RRUH-155855	C15orf52	9.18791848051945	0.176839258659232	pool3	0	0	0.202239192337561	0.677526742827448	1866.96102015671	0
ULTRA-3391257	CA7	9.06562999583071	0.176839258659232	pool12	0	0	0.475972548759223	0	1862.00949162469	0.518877004875887
RRUH-145354	CA7	11.3634049925135	0.35	pool2	1.61341847880452	2.6701231905836	1.17869311811183	1.13980870818412	3.34038052400246	22290.6917743961
ULTRA-3398544	CALM3	-9.28786221417401	0.35	pool7	872.623870329007	0.223147291717107	0	0.382602747011203	0.465703281811027	0.552903665751304
RRUH-153689	CALM3	7.79312147456166	0.187912543744349	pool3	0	0.571912736410853	0	0.338763371413724	0.262878206161182	791.651853918112
RRUH-149462	CSTL1	10.8317716863518	0.412389047541257	pool3	0.26828978408843	0	0.808956769350246	0.338763371413724	0	7430.79635532649
RRUH-149509	CSTL1	9.58396977662449	0.05	pool3	0	0.285956368205427	0.202239192337561	0.677526742827448	2676.10013872083	0.313774020577928
RRUH-150412	CUL3	0.729637437394934	0.187912543744349	pool3	0	0	931.715959099146	0.338763371413724	0.525756412322363	1549.10233959323
RRUH-103948	CUL3	11.5589856051895	0.05	pool1	112.347060173085	59.081039334738	51.4613262285514	254064.787437578	226472.04789722	201012.48329289
ULTRA-3401319	DDX59	10.3926108147809	0.35	pool11	2.13639454934537	2.86313635591457	2.82316871044476	1.35253969760368	14543.9403236708	3.37379202025521
ULTRA-3424849	DDX59	2.02555159617475	0.2	pool11	1.18688586074743	1.19297348163107	1182.90768967635	4832.62433953796	3.38270504097471	2.07617970477244
ULTRA-3267618	EPC2	-9.28917992858739	0.35	pool9	1239.00255602919	0.213623359799843	0.30430145319159	0.939517172729762	0.633588389619478	0.412905953649655
RRUH-149793	EPC2	9.0462509946773	0.321417413245402	pool3	0	1.14382547282171	0	2190.44395956114	0	0.313774020577928
ULTRA-3317377	KCNG1	-8.77266439199386	0.35	pool11	0.237377172149486	849.635713617649	0.23526405920373	0.676269848801841	1.01481151229241	0.259522463096555
ULTRA-3317375	KCNG1	9.82462704657519	0.2	pool9	3.08639536675266	2.77710367739797	1.82580871914954	4.69758586364881	2.53435355847791	9685.74140773678
RRUH-150618	KDM2B	10.9484795934107	0.05	pool3	0.26828978408843	0.285956368205427	1.01119596168781	302.176927301042	1.31439103080591	8718.5249357783
RRUH-150182	KDM2B	2.37345513184169	0.187912543744349	pool3	0	0	669.007248252653	0.338763371413724	3481.55896239869	0.313774020577928
ULTRA-3191377	LRPPRC	0.0348256327508765	0.321417413245402	pool8	114.712821141789	0	0	0	0.272676827514183	120.316221715342
RRUH-154499	LRPPRC	3.49689185444327	0.35	pool3	0	0.285956368205427	470.610600569506	5349.41239799412	0.262878206161182	0.313774020577928
ULTRA-3418582	MED12	2.38690080095446	0.2	pool7	2.05592011334059	249.92496672316	713.280022833001	3914.02610192461	9.46930006349088	1140.82456366686
RRUH-157535	MED12	-12.0264714679567	0.328952509714241	pool4	0	0	3523.51275431174	0.163530024521327	0.160308304932045	0.521473224435818
ULTRA-3438629	MOGAT3	10.1284736529043	0.05	pool12	20.1951892330167	24.352164031799	21.1807784197854	25874.262041045	44737.1139767991	6320.95967339806
ULTRA-3307790	MOGAT3	-9.33195503493005	0.328952509714241	pool9	0	837.617193775186	0	0.939517172729762	0.158397097404869	0.206452976824828
ULTRA-3327506	NEB	10.2781454704753	0.2	pool9	1.11110233203096	1.28174015879906	0.30430145319159	7071.74575913692	1.58397097404869	1.03226488412414
RRUH-162967	NEB	-10.1643530245393	0.328952509714241	pool4	2316.10823871652	0	0	0.817650122606636	0.160308304932045	1.04294644887164
ULTRA-3327857	NF1	8.88982609023235	0.05	pool7	3681.6960518567	1153.89464546916	1185.61762160934	963636.095814441	940935.628940044	953047.052101956
